,area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone,bedroom_not_applicable,log_area,total_rooms,bath_bed_ratio,area_per_bedroom,total_amenities
0,1185.0,Apartment,Residential,0.0,3.0,6100000.0,Dhaka,Khilgaon,0,1,2,0,2,0,3,Dhaka,Khilgaon,0,7.078341579557671,3.0,0.0,395.0,8
1,2464.0,Apartment,Residential,4.0,3.0,28900000.0,Dhaka,Dhanmondi,0,2,0,0,3,0,4,Dhaka,Dhanmondi,0,7.80994708647679,7.0,1.3333333333333333,821.3333333333334,9
2,1140.0,Apartment,Residential,0.0,3.0,7500000.0,Dhaka,Mirpur,0,2,2,0,2,0,4,Dhaka,Mirpur,0,7.039660349862076,3.0,0.0,380.0,10
3,1920.0,Apartment,Residential,3.0,3.0,20000000.0,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3,Dhaka,Bashundhara R/A,0,7.560601162768557,6.0,1.0,640.0,9
4,1445.0,Apartment,Residential,3.0,3.0,10800000.0,Dhaka,Banasree,0,0,2,0,1,0,4,Dhaka,Khilgaon,0,7.27655640271871,6.0,1.0,481.6666666666667,7
5,925.0,Apartment,Residential,0.0,2.0,5000000.0,Dhaka,Khilgaon,0,1,2,0,2,0,3,Dhaka,Khilgaon,0,6.8308742346461795,2.0,0.0,462.5,8
6,2468.0,Apartment,Residential,3.0,3.0,36500000.0,Dhaka,Banani,0,2,2,0,4,0,4,Dhaka,Banani,0,7.81156848934518,6.0,1.0,822.6666666666666,12
7,1475.0,Apartment,Residential,3.0,3.0,10500000.0,Dhaka,Uttara,0,2,3,0,3,0,4,Dhaka,Uttara,0,7.297091005160418,6.0,1.0,491.6666666666667,12
8,1066.0,Apartment,Residential,2.0,3.0,8000000.0,Dhaka,Sutrapur,0,1,2,1,4,0,4,Dhaka,Sutrapur,0,6.9726062513017535,5.0,0.6666666666666666,355.3333333333333,12
9,950.0,Apartment,Residential,2.0,2.0,5000000.0,Dhaka,Mirpur,0,1,2,0,5,0,3,Dhaka,Mirpur,0,6.85751406254539,4.0,1.0,475.0,11
10,4400.0,Apartment,Residential,4.0,4.0,70400000.0,Dhaka,Gulshan,0,0,0,0,0,0,0,Dhaka,Gulshan,0,8.38958706681109,8.0,1.0,1100.0,0
11,1075.0,Apartment,Residential,3.0,3.0,5700000.0,Dhaka,Badda,0,0,0,0,0,0,0,Dhaka,Badda,0,6.98100574072173,6.0,1.0,358.3333333333333,0
12,1600.0,Apartment,Residential,3.0,3.0,13100000.0,Dhaka,Rampura,0,0,2,0,2,0,3,Dhaka,Khilgaon,0,7.3783837129967145,6.0,1.0,533.3333333333334,7
13,1220.0,Shop,Commercial,0.0,0.0,15000000.0,Dhaka,Dhanmondi,0,1,3,1,4,0,3,Dhaka,Dhanmondi,1,7.107425474110705,0.0,,,12
14,750.0,Apartment,Residential,2.0,3.0,4900000.0,Dhaka,Mirpur,0,0,2,0,4,0,4,Dhaka,Mirpur,0,6.621405651764134,5.0,0.6666666666666666,250.0,10
15,1522.0,Apartment,Residential,3.0,3.0,11000000.0,Dhaka,Mirpur,0,2,2,0,2,0,4,Dhaka,Mirpur,0,7.328437352895162,6.0,1.0,507.3333333333333,10
16,1150.0,Apartment,Residential,3.0,3.0,8600000.0,Dhaka,Rampura,0,1,1,0,3,0,4,Dhaka,Khilgaon,0,7.048386408721883,6.0,1.0,383.3333333333333,9
17,1735.0,Apartment,Residential,3.0,3.0,12500000.0,Dhaka,Mohammadpur,0,1,1,1,3,0,4,Dhaka,Mohammadpur,0,7.459338895220296,6.0,1.0,578.3333333333334,10
