,area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count,division,zone
0,1185.0,Apartment,Residential,0.0,3.0,6100000.0,Dhaka,Khilgaon,0,1,2,0,2,0,3,Dhaka,Khilgaon
1,2464.0,Apartment,Residential,4.0,3.0,28900000.0,Dhaka,Dhanmondi,0,2,0,0,3,0,4,Dhaka,Dhanmondi
2,1140.0,Apartment,Residential,0.0,3.0,7500000.0,Dhaka,Mirpur,0,2,2,0,2,0,4,Dhaka,Mirpur
3,1920.0,Apartment,Residential,3.0,3.0,20000000.0,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3,Dhaka,Bashundhara R/A
4,1445.0,Apartment,Residential,3.0,3.0,10800000.0,Dhaka,Banasree,0,0,2,0,1,0,4,Dhaka,Khilgaon
5,925.0,Apartment,Residential,0.0,2.0,5000000.0,Dhaka,Khilgaon,0,1,2,0,2,0,3,Dhaka,Khilgaon
6,2468.0,Apartment,Residential,3.0,3.0,36500000.0,Dhaka,Banani,0,2,2,0,4,0,4,Dhaka,Banani
7,1475.0,Apartment,Residential,3.0,3.0,10500000.0,Dhaka,Uttara,0,2,3,0,3,0,4,Dhaka,Uttara
8,1066.0,Apartment,Residential,2.0,3.0,8000000.0,Dhaka,Sutrapur,0,1,2,1,4,0,4,Dhaka,Sutrapur
9,950.0,Apartment,Residential,2.0,2.0,5000000.0,Dhaka,Mirpur,0,1,2,0,5,0,3,Dhaka,Mirpur
10,4400.0,Apartment,Residential,4.0,4.0,70400000.0,Dhaka,Gulshan,0,0,0,0,0,0,0,Dhaka,Gulshan
11,1075.0,Apartment,Residential,3.0,3.0,5700000.0,Dhaka,Badda,0,0,0,0,0,0,0,Dhaka,Badda
12,1600.0,Apartment,Residential,3.0,3.0,13100000.0,Dhaka,Rampura,0,0,2,0,2,0,3,Dhaka,Khilgaon
13,1220.0,Shop,Commercial,0.0,0.0,15000000.0,Dhaka,Dhanmondi,0,1,3,1,4,0,3,Dhaka,Dhanmondi
14,750.0,Apartment,Residential,2.0,3.0,4900000.0,Dhaka,Mirpur,0,0,2,0,4,0,4,Dhaka,Mirpur
15,1522.0,Apartment,Residential,3.0,3.0,11000000.0,Dhaka,Mirpur,0,2,2,0,2,0,4,Dhaka,Mirpur
16,1150.0,Apartment,Residential,3.0,3.0,8600000.0,Dhaka,Rampura,0,1,1,0,3,0,4,Dhaka,Khilgaon
