feature,mean_abs_shap,rank
num__area,0.34387457,1
cat__city_Dhaka,0.06245935,2
num__area_per_bedroom,0.036468636,3
num__security_amenity_count,0.022572117,4
cat__zone_Bashundhara R/A,0.018285627,5
num__total_amenities,0.017975928,6
cat__building_type_Residential Plot,0.01795962,7
cat__zone_Mirpur,0.017876951,8
cat__locality_Savar,0.01712765,9
cat__building_type_Apartment,0.01695313,10
num__log_area,0.016079318,11
cat__locality_Bashundhara R-A,0.015915556,12
num__expendable_amenity_count,0.015202107,13
num__num_bed_rooms,0.014377482,14
cat__city_Narayanganj City,0.014140571,15
cat__zone_Gulshan,0.013225886,16
cat__locality_Mohammadpur,0.011081769,17
cat__locality_Uttara,0.010351092,18
cat__locality_Keraniganj,0.009010526,19
cat__zone_Dakshin Khan,0.008849754,20
num__total_rooms,0.008845512,21
cat__zone_Sub-district of Narayanganj,0.007942389,22
cat__locality_Dhanmondi,0.0075845327,23
cat__building_nature_Commercial,0.0069501293,24
num__unclassify_amenity_count,0.0066494537,25
cat__zone_Ramna,0.0065234485,26
cat__zone_Keraniganj,0.0059325066,27
cat__zone_Banani,0.005602789,28
num__maintenance_or_cleaning_amenity_count,0.005255432,29
cat__division_Chattogram,0.0043345876,30
cat__zone_Motijheel,0.0042922115,31
cat__city_Chattogram,0.0042524273,32
cat__zone_Mohakhali,0.0041179345,33
cat__zone_Tejgaon,0.0040312465,34
cat__locality_Cantonment,0.004027699,35
cat__locality_Gazipur Sadar Upazila,0.003654691,36
cat__locality_Narayanganj,0.0030456479,37
cat__zone_Uttara,0.0029009813,38
num__bath_bed_ratio,0.0028134568,39
cat__locality_Purbachal,0.0027445504,40
cat__locality_Aftab Nagar,0.0025734238,41
num__num_bath_rooms,0.002559706,42
cat__building_type_Office,0.0025326344,43
cat__zone_Sub-district of Gazipur,0.0025297585,44
num__social_amenity_count,0.0024677154,45
cat__zone_Savar,0.0024607156,46
cat__building_type_Shop,0.0023134968,47
cat__locality_Khulshi,0.0021926966,48
